omitted_review_row_index	remaining_clusters	scope	target	metric	reviewed_model_assessments	positive_model_assessments	auc	best_threshold	best_f1	precision	recall	true_positive	false_positive	false_negative
26	29	overall	human_decision_change_yes_or_uncertain	cer	87	16	0.7408	15.69	0.4688	0.3125	0.9375	15	33	1
26	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	16	0.8952	270.0	0.6512	0.5185	0.875	14	13	2
26	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	16	0.908	5.0	0.6275	0.4571	1.0	16	19	0
27	29	overall	human_decision_change_yes	wer	87	16	0.6967	42.59	0.4615	0.3913	0.5625	9	14	7
27	29	overall	human_decision_change_yes	cer	87	16	0.7293	16.42	0.4667	0.3182	0.875	14	30	2
27	29	overall	human_decision_change_yes	sres_total	87	16	0.919	270.0	0.6829	0.56	0.875	14	11	2
27	29	overall	human_decision_change_yes	ceis_max	87	16	0.9177	5.0	0.6531	0.4848	1.0	16	17	0
27	29	overall	human_decision_change_yes_or_uncertain	wer	87	16	0.6967	42.59	0.4615	0.3913	0.5625	9	14	7
27	29	overall	human_decision_change_yes_or_uncertain	cer	87	16	0.7293	16.42	0.4667	0.3182	0.875	14	30	2
27	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	16	0.919	270.0	0.6829	0.56	0.875	14	11	2
27	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	16	0.9177	5.0	0.6531	0.4848	1.0	16	17	0
28	29	overall	human_decision_change_yes	wer	87	16	0.6985	42.59	0.4615	0.3913	0.5625	9	14	7
28	29	overall	human_decision_change_yes	cer	87	16	0.7276	16.42	0.4667	0.3182	0.875	14	30	2
28	29	overall	human_decision_change_yes	sres_total	87	16	0.9203	270.0	0.7	0.5833	0.875	14	10	2
28	29	overall	human_decision_change_yes	ceis_max	87	16	0.9225	5.0	0.6667	0.5	1.0	16	16	0
28	29	overall	human_decision_change_yes_or_uncertain	wer	87	16	0.6985	42.59	0.4615	0.3913	0.5625	9	14	7
28	29	overall	human_decision_change_yes_or_uncertain	cer	87	16	0.7276	16.42	0.4667	0.3182	0.875	14	30	2
28	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	16	0.9203	270.0	0.7	0.5833	0.875	14	10	2
28	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	16	0.9225	5.0	0.6667	0.5	1.0	16	16	0
29	29	overall	human_decision_change_yes	wer	87	16	0.6923	42.59	0.4615	0.3913	0.5625	9	14	7
29	29	overall	human_decision_change_yes	cer	87	16	0.7196	16.42	0.459	0.3111	0.875	14	31	2
29	29	overall	human_decision_change_yes	sres_total	87	16	0.8961	270.0	0.6512	0.5185	0.875	14	13	2
29	29	overall	human_decision_change_yes	ceis_max	87	16	0.9129	5.0	0.64	0.4706	1.0	16	18	0
29	29	overall	human_decision_change_yes_or_uncertain	wer	87	16	0.6923	42.59	0.4615	0.3913	0.5625	9	14	7
29	29	overall	human_decision_change_yes_or_uncertain	cer	87	16	0.7196	16.42	0.459	0.3111	0.875	14	31	2
29	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	16	0.8961	270.0	0.6512	0.5185	0.875	14	13	2
29	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	16	0.9129	5.0	0.64	0.4706	1.0	16	18	0
